age,sex,prev,year,age_str,freq
16,Male,0.02587645360069378,2011,0.020877296890457454,1.2586889618393426
17,Male,0.03492269106744205,2011,0.021680322706551337,1.3039482752910199
18,Male,0.032540724050368244,2011,0.021719341670604415,1.3645901449668147
19,Male,0.035696471962679145,2011,0.022402203418228562,1.2772947880459204
20,Male,0.033803694454232994,2011,0.02340026430119724,1.3557116833644514
21,Male,0.03392923889927177,2011,0.02317983404332312,1.323400522756894
22,Male,0.03220592574411251,2011,0.022883935253138067,1.3238959272607198
23,Male,0.03087217780719627,2011,0.023109982329727337,1.3858973610119376
24,Male,0.02983161933180583,2011,0.02242783762279023,1.2989460555509496
25,Male,0.03141798201280357,2011,0.023054650690044105,1.2973001307780607
26,Male,0.02531228777807503,2011,0.02322877207021358,1.2619011825347402
27,Male,0.024922282522788344,2011,0.02268119199887759,1.2394949088878358
28,Male,0.024248761551230607,2011,0.022857763268061118,1.3188355041558242
29,Male,0.023424547735479105,2011,0.02288656440232388,1.313385308190112
30,Male,0.02274531229061221,2011,0.02318646666967824,1.3022972077076393
31,Male,0.021826737946007948,2011,0.02333824028176831,1.3574793013375657
32,Male,0.021116900162335507,2011,0.022490040902390925,1.2465245588915739
33,Male,0.019912039738681164,2011,0.020991067346134422,1.312195446706244
34,Male,0.01856178608515057,2011,0.020715305448577068,1.3250821794518575
35,Male,0.018350587241619393,2011,0.020940695237869882,1.2743354489024097
36,Male,0.017031337437045328,2011,0.02135586179566587,1.2957391095312016
37,Male,0.016184575851068816,2011,0.021672016985259796,1.2065881456603826
38,Male,0.015128609006983856,2011,0.022647550839977312,1.3032375674369943
39,Male,0.013878810098737026,2011,0.023632167210064,1.2697024588186032
40,Male,0.01327364915662413,2011,0.024241412780485402,1.2867653399872556
41,Male,0.011889765965986687,2011,0.0236706483936018,1.3284312832616962
42,Male,0.011456374333580635,2011,0.02424272735507831,1.4047364000014744
43,Male,0.010712189154124304,2011,0.024225578131979942,1.3224361158180582
44,Male,0.009635235774049969,2011,0.024688368142073487,1.3191362319345297
45,Male,0.009132231304462026,2011,0.02456945889480607,1.3446245388519866
46,Male,0.008093147270645858,2011,0.024741130385961492,1.3286790088758613
47,Male,0.007647574091196652,2011,0.024557448463298152,1.3129548655550791
48,Male,0.006608312273785704,2011,0.024070219316454675,1.3750816401199393
49,Male,0.006305878069501193,2011,0.02363270499057928,1.3190826436729413
50,Male,0.005505216087581081,2011,0.02283673007457462,1.3812665506414326
51,Male,0.004784206669009729,2011,0.021931944234311686,1.2965727156289517
52,Male,0.004365207514392936,2011,0.021463656912284173,1.3213777811501428
53,Male,0.0042738080681989435,2011,0.02101389314133852,1.3241940393199527
54,Male,0.003780556294522775,2011,0.020215169569366875,1.3723905473598093
55,Male,0.0032526787215505252,2011,0.019546230361749416,1.3092990860420377
56,Male,0.0027924628888028585,2011,0.01883032498913086,1.214687192003858
57,Male,0.002480456530394282,2011,0.018910394532516958,1.3319276465184209
58,Male,0.0021720063150844405,2011,0.018734779317582818,1.2792675837691132
59,Male,0.0020439750385299153,2011,0.018183494536030458,1.2796604797725502
60,Male,0.0017045102710595015,2011,0.018334312093871142,1.413693248352511
16,Male,0.030929969229997144,1989,0.020928507945877355,1.3834875033492458
17,Male,0.044131199017031296,1989,0.019233113488498436,1.301600204414454
18,Male,0.05588213591755417,1989,0.018682292452688373,1.3529207479643728
19,Male,0.05531824518975504,1989,0.01916346492229721,1.3069818250202696
20,Male,0.04916013043659137,1989,0.020513111030777118,1.2779223199948235
21,Male,0.04284682883483283,1989,0.021275831757159802,1.2735960477513468
22,Male,0.03881039995866654,1989,0.02286954324654089,1.3913207151984184
23,Male,0.03461486577633886,1989,0.02433104718424501,1.231226379146096
24,Male,0.03181632374982968,1989,0.025051689936136663,1.1941850820322322
25,Male,0.04131723634530455,1989,0.02500114385133464,1.2944274181911752
26,Male,0.02586112727078734,1989,0.02584027450331415,1.3354167295738084
27,Male,0.023845689568453877,1989,0.026102785922954768,1.3424422983333808
28,Male,0.021930348355711324,1989,0.026933776685953172,1.3346676073679762
29,Male,0.019861069632715892,1989,0.027036313029408697,1.2871275034834644
30,Male,0.01850241997092682,1989,0.027410879211071458,1.3916770375769574
31,Male,0.016156225011801657,1989,0.02725523665644082,1.2685574233208479
32,Male,0.015403774919677335,1989,0.026724305833221683,1.329874095872574
33,Male,0.013600576261453449,1989,0.026063530651900733,1.2907859659544887
34,Male,0.012239103744628606,1989,0.025664282226230753,1.2965114740722357
35,Male,0.011609129021218344,1989,0.02455200578352241,1.310030302716695
36,Male,0.010163922736634825,1989,0.023935409193203742,1.3854349362118188
37,Male,0.009170677268605706,1989,0.023528546032680474,1.298189119791664
38,Male,0.008468056784097686,1989,0.022783089748249646,1.2180345885883732
39,Male,0.007965107499341177,1989,0.022169578438431883,1.3181920406928307
40,Male,0.007628317238232834,1989,0.021582193546472825,1.2984441610188397
41,Male,0.006594304563739437,1989,0.021850547305785367,1.2991434606208192
42,Male,0.0059282625839610584,1989,0.021725429334833873,1.3009762627880528
43,Male,0.005824944758163516,1989,0.02138952762583136,1.3958713884492724
44,Male,0.004870842935623041,1989,0.021819234990914507,1.3780215305802979
45,Male,0.004732937555098012,1989,0.022413381242269156,1.3311187722525524
46,Male,0.004280040143044935,1989,0.023220674425249988,1.3000921098653457
47,Male,0.003881856540084388,1989,0.024892305658345357,1.3990106232382689
48,Male,0.003373509280204023,1989,0.026872530585796958,1.2484664598479294
49,Male,0.0035657759411739346,1989,0.02131823795298072,1.273955007937959
50,Male,0.003249901470744631,1989,0.020986603121266687,1.3529739205726041
51,Male,0.0026903687313779966,1989,0.020886167394322416,1.2114553712167364
52,Male,0.00274360650541788,1989,0.019882729144603355,1.298634170127721
53,Male,0.002575472624690343,1989,0.01804567436124683,1.2353457412090372
54,Male,0.002599823024095348,1989,0.016765676818968147,1.4094242747694734
55,Male,0.002390910072732825,1989,0.0176266013672519,1.3456983249820411
56,Male,0.0019289223580983268,1989,0.01773045059602696,1.2181874083916397
57,Male,0.001730678134895917,1989,0.01759942464113757,1.187175219221507
58,Male,0.0014343535299974441,1989,0.017207922238852834,1.2774820284662367
59,Male,0.0013701257775463787,1989,0.016768893388001003,1.209674411389186
60,Male,0.001115059723882333,1989,0.016366034527702307,1.3648197594817053
